Host,CIS Reference,Control Name,Executed_Command,Terminal_Output,Keywords,Complaint Status,Scan Date
192.168.0.110,1.1.1,Enable 'aaa new-model',show running-config | inc aaa new-model,aaa new-model,"""aaa new-model""",Compliant,01-06-2025 20:10
192.168.0.110,1.1.2,Enable 'aaa authentication login',show running-config | incl aaa authentication login,"aaa authentication login default group tacacs+ local
aaa authentication login no_tacacs local","""aaa authentication login default group ISE group tacacs+ local,aaa authentication login console group tacacs+ local""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.3,Enable 'aaa authentication enable default',show running-config | incl aaa authentication enable,aaa authentication enable default group tacacs+ enable,"""aaa authentication enable defualt group  tacacs+ enable""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.4,Set 'login authentication for 'line con 0',show running-config | sec line | incl login authentication,"line con 0
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 no modem enable
line aux 0
line 3
 modem InOut
 speed 115200
 flowcontrol hardware
line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none
line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.5,Set 'login authentication for 'line tty',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.1.6,Set 'login authentication for 'line vty',show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'login authentication for 'line vty',show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.7,Set 'aaa accounting' to log all privileged use commands using 'commands 15',show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""privilege level 15""",Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'aaa accounting' to log all privileged use commands using 'commands 15',show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""privilege level 15""",Compliant,01-06-2025 20:10
192.168.0.110,1.1.9,Set 'aaa accounting exec',show running-config | incl aaa accounting exec,aaa accounting exec default start-stop group tacacs+,"""aaa accounting exec default start-stop group tacacs+""",Compliant,01-06-2025 20:10
192.168.0.110,1.2.1,Set 'transport input ssh' for 'line vty' connections,show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""transport input ssh, transport output ssh""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'transport input ssh' for 'line vty' connections,show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""transport input ssh, transport output ssh""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.2,Set 'no exec' for 'line aux 0',show running-config | sec line | incl login authentication,"line con 0
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 no modem enable
line aux 0
line 3
 modem InOut
 speed 115200
 flowcontrol hardware
line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none
line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""no exec""",Non-Compliant,01-06-2025 20:10
